pathway_name,pathway_source,num_overlapping_metabolites,overlapping_metabolites,num_all_pathway_metabolites,P_metabolites,Q_metabolites
Chondrodysplasia Punctata II_ X Linked Dominant (CDPX2),SMPDB,14,HMDB0006842;HMDB0002027;HMDB0001286;HMDB0000032;HMDB0001188;HMDB0001170;HMDB0000067;HMDB0006271;HMDB0006841;HMDB0002719;HMDB0006927#HMDB0001181;HMDB0001251;HMDB0001090;HMDB0000876,43 (46),8.52e-05,0.0149
CHILD Syndrome,SMPDB,14,HMDB0006842;HMDB0002027;HMDB0001286;HMDB0000032;HMDB0001188;HMDB0001170;HMDB0000067;HMDB0006271;HMDB0006841;HMDB0002719;HMDB0006927#HMDB0001181;HMDB0001251;HMDB0001090;HMDB0000876,43 (46),8.52e-05,0.0149
Desmosterolosis,SMPDB,14,HMDB0006842;HMDB0002027;HMDB0001286;HMDB0000032;HMDB0001188;HMDB0001170;HMDB0000067;HMDB0006271;HMDB0006841;HMDB0002719;HMDB0006927#HMDB0001181;HMDB0001251;HMDB0001090;HMDB0000876,43 (46),8.52e-05,0.0149
Hypercholesterolemia,SMPDB,14,HMDB0006842;HMDB0002027;HMDB0001286;HMDB0000032;HMDB0001188;HMDB0001170;HMDB0000067;HMDB0006271;HMDB0006841;HMDB0002719;HMDB0006927#HMDB0001181;HMDB0001251;HMDB0001090;HMDB0000876,43 (46),8.52e-05,0.0149
Steroid Biosynthesis,SMPDB,14,HMDB0006842;HMDB0002027;HMDB0001286;HMDB0000032;HMDB0001188;HMDB0001170;HMDB0000067;HMDB0006271;HMDB0006841;HMDB0002719;HMDB0006927#HMDB0001181;HMDB0001251;HMDB0001090;HMDB0000876,43 (46),8.52e-05,0.0149
Zoledronate Action Pathway,SMPDB,14,HMDB0006842;HMDB0002027;HMDB0001286;HMDB0000032;HMDB0001188;HMDB0001170;HMDB0000067;HMDB0006271;HMDB0006841;HMDB0002719;HMDB0006927#HMDB0001181;HMDB0001251;HMDB0001090;HMDB0000876,43 (47),8.52e-05,0.0149
Ibandronate Action Pathway,SMPDB,14,HMDB0006842;HMDB0002027;HMDB0001286;HMDB0000032;HMDB0001188;HMDB0001170;HMDB0000067;HMDB0006271;HMDB0006841;HMDB0002719;HMDB0006927#HMDB0001181;HMDB0001251;HMDB0001090;HMDB0000876,43 (46),8.52e-05,0.0149
Atorvastatin Action Pathway,SMPDB,14,HMDB0006842;HMDB0002027;HMDB0001286;HMDB0000032;HMDB0001188;HMDB0001170;HMDB0000067;HMDB0006271;HMDB0006841;HMDB0002719;HMDB0006927#HMDB0001181;HMDB0001251;HMDB0001090;HMDB0000876,44 (47),0.000113,0.0152
Pravastatin Action Pathway,SMPDB,14,HMDB0006842;HMDB0002027;HMDB0001286;HMDB0000032;HMDB0001188;HMDB0001170;HMDB0000067;HMDB0006271;HMDB0006841;HMDB0002719;HMDB0006927#HMDB0001181;HMDB0001251;HMDB0001090;HMDB0000876,44 (47),0.000113,0.0152
Alendronate Action Pathway,SMPDB,14,HMDB0006842;HMDB0002027;HMDB0001286;HMDB0000032;HMDB0001188;HMDB0001170;HMDB0000067;HMDB0006271;HMDB0006841;HMDB0002719;HMDB0006927#HMDB0001181;HMDB0001251;HMDB0001090;HMDB0000876,44 (47),0.000113,0.0152
Lovastatin Action Pathway,SMPDB,14,HMDB0006842;HMDB0002027;HMDB0001286;HMDB0000032;HMDB0001188;HMDB0001170;HMDB0000067;HMDB0006271;HMDB0006841;HMDB0002719;HMDB0006927#HMDB0001181;HMDB0001251;HMDB0001090;HMDB0000876,44 (47),0.000113,0.0152
Risedronate Action Pathway,SMPDB,14,HMDB0006842;HMDB0002027;HMDB0001286;HMDB0000032;HMDB0001188;HMDB0001170;HMDB0000067;HMDB0006271;HMDB0006841;HMDB0002719;HMDB0006927#HMDB0001181;HMDB0001251;HMDB0001090;HMDB0000876,44 (47),0.000113,0.0152
Pamidronate Action Pathway,SMPDB,14,HMDB0006842;HMDB0002027;HMDB0001286;HMDB0000032;HMDB0001188;HMDB0001170;HMDB0000067;HMDB0006271;HMDB0006841;HMDB0002719;HMDB0006927#HMDB0001181;HMDB0001251;HMDB0001090;HMDB0000876,44 (47),0.000113,0.0152
Fluvastatin Action Pathway,SMPDB,14,HMDB0006842;HMDB0002027;HMDB0001286;HMDB0000032;HMDB0001188;HMDB0001170;HMDB0000067;HMDB0006271;HMDB0006841;HMDB0002719;HMDB0006927#HMDB0001181;HMDB0001251;HMDB0001090;HMDB0000876,44 (47),0.000113,0.0152
Lidocaine metabolism,Wikipathways,5,HMDB0060656;HMDB0060678;HMDB0014426;HMDB0060655;HMDB0060679,7 (8),0.00024,0.0302
Vitamins A and D - action mechanisms,Wikipathways,5,HMDB0006500;HMDB0000305;HMDB0000876;HMDB0000032;HMDB0003550,7 (10),0.00024,0.0302
Digestion of dietary lipid,Reactome,7,HMDB0000036;HMDB0000637;HMDB0000951;HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112;HMDB0000067;HMDB0005383#HMDB0005410#HMDB0045873#HMDB0005459#HMDB0005454#HMDB0005437#HMDB0005424#HMDB0005440#HMDB0005376#HMDB0005403#HMDB0005388#HMDB0005390#HMDB0005393#HMDB0005442#HMDB0005363#HMDB0005397#HMDB0045741;HMDB0000138,14 (17),0.000268,0.0327
Synthesis of bile acids and bile salts,Reactome,15,HMDB0000036;HMDB0000637;HMDB0006281;HMDB0062420;HMDB0062206;HMDB0000123;HMDB0000951;HMDB0000067;HMDB0000138;HMDB0006894;HMDB0012455;HMDB0060136;HMDB0001231;HMDB0001457;HMDB0001993,55 (75),0.000438,0.0518
cholesterol biosynthesis I,HumanCyc,9,HMDB0006842;HMDB0001286;HMDB0000032;HMDB0001188;HMDB0001170;HMDB0000067;HMDB0006271;HMDB0006927#HMDB0001181;HMDB0001251,24 (32),0.000505,0.058
superpathway of cholesterol biosynthesis,HumanCyc,12,HMDB0006842;HMDB0001286;HMDB0000032;HMDB0001188;HMDB0001170;HMDB0000067;HMDB0006271;HMDB0006841;HMDB0002719;HMDB0006927#HMDB0001181;HMDB0001251;HMDB0001090,40 (62),0.000646,0.0722
Bile Acid Biosynthesis,SMPDB,15,HMDB0000036;HMDB0000637;HMDB0000951;HMDB0001231;HMDB0000896;HMDB0000067;HMDB0000123;HMDB0006281;HMDB0006888;HMDB0000631;HMDB0006894;HMDB0012455;HMDB0000138;HMDB0001457;HMDB0001993,58 (64),0.000812,0.076
27-Hydroxylase Deficiency,SMPDB,15,HMDB0000036;HMDB0000637;HMDB0000951;HMDB0001231;HMDB0000896;HMDB0000067;HMDB0000123;HMDB0006281;HMDB0006888;HMDB0000631;HMDB0006894;HMDB0012455;HMDB0000138;HMDB0001457;HMDB0001993,58 (64),0.000812,0.076
Congenital Bile Acid Synthesis Defect Type II,SMPDB,15,HMDB0000036;HMDB0000637;HMDB0000951;HMDB0001231;HMDB0000896;HMDB0000067;HMDB0000123;HMDB0006281;HMDB0006888;HMDB0000631;HMDB0006894;HMDB0012455;HMDB0000138;HMDB0001457;HMDB0001993,58 (64),0.000812,0.076
Cerebrotendinous Xanthomatosis (CTX),SMPDB,15,HMDB0000036;HMDB0000637;HMDB0000951;HMDB0001231;HMDB0000896;HMDB0000067;HMDB0000123;HMDB0006281;HMDB0006888;HMDB0000631;HMDB0006894;HMDB0012455;HMDB0000138;HMDB0001457;HMDB0001993,58 (64),0.000812,0.076
Zellweger Syndrome,SMPDB,15,HMDB0000036;HMDB0000637;HMDB0000951;HMDB0001231;HMDB0000896;HMDB0000067;HMDB0000123;HMDB0006281;HMDB0006888;HMDB0000631;HMDB0006894;HMDB0012455;HMDB0000138;HMDB0001457;HMDB0001993,58 (64),0.000812,0.076
Familial Hypercholanemia (FHCA),SMPDB,15,HMDB0000036;HMDB0000637;HMDB0000951;HMDB0001231;HMDB0000896;HMDB0000067;HMDB0000123;HMDB0006281;HMDB0006888;HMDB0000631;HMDB0006894;HMDB0012455;HMDB0000138;HMDB0001457;HMDB0001993,58 (64),0.000812,0.076
Congenital Bile Acid Synthesis Defect Type III,SMPDB,15,HMDB0000036;HMDB0000637;HMDB0000951;HMDB0001231;HMDB0000896;HMDB0000067;HMDB0000123;HMDB0006281;HMDB0006888;HMDB0000631;HMDB0006894;HMDB0012455;HMDB0000138;HMDB0001457;HMDB0001993,58 (64),0.000812,0.076
Bile acid and bile salt metabolism,Reactome,15,HMDB0000036;HMDB0000637;HMDB0006281;HMDB0062420;HMDB0062206;HMDB0000123;HMDB0000951;HMDB0000067;HMDB0000138;HMDB0006894;HMDB0012455;HMDB0060136;HMDB0001231;HMDB0001457;HMDB0001993,59 (79),0.000985,0.0901
Vitamin D Metabolism,Wikipathways,5,HMDB0000067;HMDB0006500;HMDB0000876;HMDB0000032;HMDB0003550,9 (9),0.0012,0.107
Digestion,Reactome,10,HMDB0000036;HMDB0000637;HMDB0000951;HMDB0035312;HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112;HMDB0000067;HMDB0003255;HMDB0005383#HMDB0005410#HMDB0045873#HMDB0005459#HMDB0005454#HMDB0005437#HMDB0005424#HMDB0005440#HMDB0005376#HMDB0005403#HMDB0005388#HMDB0005390#HMDB0005393#HMDB0005442#HMDB0005363#HMDB0005397#HMDB0045741;HMDB0001262;HMDB0000138,32 (42),0.00129,0.113
bile acid biosynthesis_ neutral pathway,HumanCyc,11,HMDB0000036;HMDB0000637;HMDB0000951;HMDB0000067;HMDB0000123;HMDB0000138;HMDB0006894;HMDB0012455;HMDB0001231;HMDB0001457;HMDB0001993,38 (44),0.00151,0.129
Keratinization,Reactome,4,HMDB0000067;HMDB0004949;HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112;HMDB0005383#HMDB0005410#HMDB0045873#HMDB0005459#HMDB0005454#HMDB0005437#HMDB0005424#HMDB0005440#HMDB0005376#HMDB0005403#HMDB0005388#HMDB0005390#HMDB0005393#HMDB0005442#HMDB0005363#HMDB0005397#HMDB0045741,6 (10),0.00163,0.134
Formation of the cornified envelope,Reactome,4,HMDB0000067;HMDB0004949;HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112;HMDB0005383#HMDB0005410#HMDB0045873#HMDB0005459#HMDB0005454#HMDB0005437#HMDB0005424#HMDB0005440#HMDB0005376#HMDB0005403#HMDB0005388#HMDB0005390#HMDB0005393#HMDB0005442#HMDB0005363#HMDB0005397#HMDB0045741,6 (10),0.00163,0.134
Digestion and absorption,Reactome,10,HMDB0000036;HMDB0000637;HMDB0000951;HMDB0035312;HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112;HMDB0000067;HMDB0003255;HMDB0005383#HMDB0005410#HMDB0045873#HMDB0005459#HMDB0005454#HMDB0005437#HMDB0005424#HMDB0005440#HMDB0005376#HMDB0005403#HMDB0005388#HMDB0005390#HMDB0005393#HMDB0005442#HMDB0005363#HMDB0005397#HMDB0045741;HMDB0001262;HMDB0000138,33 (45),0.00168,0.135
MTHFR deficiency,Wikipathways,6,HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112;HMDB0008843#HMDB0009152#HMDB0009150#HMDB0009363#HMDB0009557#HMDB0009556#HMDB0009571#HMDB0008976#HMDB0008974;HMDB0004949;HMDB0008431#HMDB0008065#HMDB0008658#HMDB0008129#HMDB0008800#HMDB0000564#HMDB0007886#HMDB0008691#HMDB0008522#HMDB0007940#HMDB0008145#HMDB0008400#HMDB0008401#HMDB0008768#HMDB0008002#HMDB0008324#HMDB0008322#HMDB0008304;HMDB0000043;HMDB0013462#HMDB0012103#HMDB0012092,14 (21),0.00206,0.162
Cholesterol biosynthesis via lathosterol,Reactome,5,HMDB0000067;HMDB0001170;HMDB0006841;HMDB0000032;HMDB0006271,10 (10),0.00219,0.163
HDL remodeling,Reactome,5,HMDB0000067;HMDB0012108#HMDB0010408#HMDB0010404#HMDB0010403#HMDB0010402#HMDB0010401#HMDB0010398#HMDB0010392#HMDB0010391#HMDB0010390#HMDB0010381#HMDB0010382#HMDB0010383#HMDB0010384#HMDB0010387#HMDB0010375;HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112;HMDB0005383#HMDB0005410#HMDB0045873#HMDB0005459#HMDB0005454#HMDB0005437#HMDB0005424#HMDB0005440#HMDB0005376#HMDB0005403#HMDB0005388#HMDB0005390#HMDB0005393#HMDB0005442#HMDB0005363#HMDB0005397#HMDB0045741;HMDB0008431#HMDB0008065#HMDB0008658#HMDB0008129#HMDB0008800#HMDB0000564#HMDB0007886#HMDB0008691#HMDB0008522#HMDB0007940#HMDB0008145#HMDB0008400#HMDB0008401#HMDB0008768#HMDB0008002#HMDB0008324#HMDB0008322#HMDB0008304,10 (13),0.00219,0.163
Plasma lipoprotein remodeling,Reactome,5,HMDB0000067;HMDB0012108#HMDB0010408#HMDB0010404#HMDB0010403#HMDB0010402#HMDB0010401#HMDB0010398#HMDB0010392#HMDB0010391#HMDB0010390#HMDB0010381#HMDB0010382#HMDB0010383#HMDB0010384#HMDB0010387#HMDB0010375;HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112;HMDB0005383#HMDB0005410#HMDB0045873#HMDB0005459#HMDB0005454#HMDB0005437#HMDB0005424#HMDB0005440#HMDB0005376#HMDB0005403#HMDB0005388#HMDB0005390#HMDB0005393#HMDB0005442#HMDB0005363#HMDB0005397#HMDB0045741;HMDB0008431#HMDB0008065#HMDB0008658#HMDB0008129#HMDB0008800#HMDB0000564#HMDB0007886#HMDB0008691#HMDB0008522#HMDB0007940#HMDB0008145#HMDB0008400#HMDB0008401#HMDB0008768#HMDB0008002#HMDB0008324#HMDB0008322#HMDB0008304,10 (16),0.00219,0.163
Cholesterol biosynthesis,Reactome,11,HMDB0006842;HMDB0001286;HMDB0000032;HMDB0001188;HMDB0001170;HMDB0000067;HMDB0006271;HMDB0006841;HMDB0002719;HMDB0001251;HMDB0001090,40 (46),0.00238,0.174
cholesterol biosynthesis III (via desmosterol),HumanCyc,8,HMDB0006842;HMDB0001286;HMDB0001188;HMDB0000067;HMDB0006271;HMDB0002719;HMDB0006927#HMDB0001181;HMDB0001251,24 (32),0.00251,0.18
Bile acid biosynthesis,EHMN,12,HMDB0000036;HMDB0000951;HMDB0000896;HMDB0000067;HMDB0000123;HMDB0006886;HMDB0000138;HMDB0006894;HMDB0012455;HMDB0001231;HMDB0001457;HMDB0001993,47 (55),0.00303,0.214
Arachidonate Epoxygenase - Epoxide Hydrolase,Wikipathways,5,HMDB0002311;HMDB0002343;HMDB0002265;HMDB0002314;HMDB0001043,11 (11),0.00367,0.255
sphingomyelin metabolism/ceramide salvage,HumanCyc,9,HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112;HMDB0004949;HMDB0000944;HMDB0008431#HMDB0008065#HMDB0008658#HMDB0008129#HMDB0008800#HMDB0000564#HMDB0007886#HMDB0008691#HMDB0008522#HMDB0007940#HMDB0008145#HMDB0008400#HMDB0008401#HMDB0008768#HMDB0008002#HMDB0008324#HMDB0008322#HMDB0008304;HMDB0003073;HMDB0001388;HMDB0001043;HMDB0006482;HMDB0002183,31 (55),0.00395,0.269
Cytochrome P450 - arranged by substrate type,Reactome,18,HMDB0000015;HMDB0000234;HMDB0001251;HMDB0013195;HMDB0000067;HMDB0006763;HMDB0001547;HMDB0003208;HMDB0000145;HMDB0041905;HMDB0002995;HMDB0006543;HMDB0001920;HMDB0001043;HMDB0060136;HMDB0003550;HMDB0000876;HMDB0001993,87 (120),0.00401,0.269
Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol,Reactome,11,HMDB0000036;HMDB0000637;HMDB0000951;HMDB0000067;HMDB0000123;HMDB0000138;HMDB0006894;HMDB0012455;HMDB0001231;HMDB0001457;HMDB0001993,43 (49),0.00441,0.291
Chylomicron remodeling,Reactome,3,HMDB0000067;HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112;HMDB0005383#HMDB0005410#HMDB0045873#HMDB0005459#HMDB0005454#HMDB0005437#HMDB0005424#HMDB0005440#HMDB0005376#HMDB0005403#HMDB0005388#HMDB0005390#HMDB0005393#HMDB0005442#HMDB0005363#HMDB0005397#HMDB0045741,4 (7),0.0045,0.292
Squalene and cholesterol biosynthesis,EHMN,10,HMDB0006842;HMDB0001251;HMDB0000032;HMDB0001188;HMDB0001170;HMDB0000067;HMDB0006271;HMDB0002719;HMDB0001286;HMDB0001090,38 (42),0.00527,0.337
Oligodendrocyte specification and differentiation_ leading to myelin components for CNS,Wikipathways,4,HMDB0000067;HMDB0013462#HMDB0012103#HMDB0012092;HMDB0008843#HMDB0009152#HMDB0009150#HMDB0009363#HMDB0009557#HMDB0009556#HMDB0009571#HMDB0008976#HMDB0008974;HMDB0008431#HMDB0008065#HMDB0008658#HMDB0008129#HMDB0008800#HMDB0000564#HMDB0007886#HMDB0008691#HMDB0008522#HMDB0007940#HMDB0008145#HMDB0008400#HMDB0008401#HMDB0008768#HMDB0008002#HMDB0008324#HMDB0008322#HMDB0008304,8 (11),0.0064,0.402
Plasma lipoprotein assembly_ remodeling_ and clearance,Reactome,5,HMDB0000067;HMDB0012108#HMDB0010408#HMDB0010404#HMDB0010403#HMDB0010402#HMDB0010401#HMDB0010398#HMDB0010392#HMDB0010391#HMDB0010390#HMDB0010381#HMDB0010382#HMDB0010383#HMDB0010384#HMDB0010387#HMDB0010375;HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112;HMDB0005383#HMDB0005410#HMDB0045873#HMDB0005459#HMDB0005454#HMDB0005437#HMDB0005424#HMDB0005440#HMDB0005376#HMDB0005403#HMDB0005388#HMDB0005390#HMDB0005393#HMDB0005442#HMDB0005363#HMDB0005397#HMDB0045741;HMDB0008431#HMDB0008065#HMDB0008658#HMDB0008129#HMDB0008800#HMDB0000564#HMDB0007886#HMDB0008691#HMDB0008522#HMDB0007940#HMDB0008145#HMDB0008400#HMDB0008401#HMDB0008768#HMDB0008002#HMDB0008324#HMDB0008322#HMDB0008304,13 (21),0.00854,0.528
Steroid hormone biosynthesis - Homo sapiens (human),KEGG,17,HMDB0000653;HMDB0000015;HMDB0006756;HMDB0002829;HMDB0000067;HMDB0000899;HMDB0001547;HMDB0006764;HMDB0000145;HMDB0004030;HMDB0004484;HMDB0000234;HMDB0000343;HMDB0000077;HMDB0006763;HMDB0003769;HMDB0000313#HMDB0000335,87 (99),0.00929,0.566
metabolism of anandamide an endogenous cannabinoid,BioCarta,3,HMDB0004080;HMDB0008843#HMDB0009152#HMDB0009150#HMDB0009363#HMDB0009557#HMDB0009556#HMDB0009571#HMDB0008976#HMDB0008974;HMDB0001043,5 (6),0.0104,0.622
Shigellosis - Homo sapiens (human),KEGG,4,HMDB0004878;HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112;HMDB0000172;HMDB0000687,9 (14),0.0106,0.624
lanosterol biosynthesis,HumanCyc,2,HMDB0001251;HMDB0001188,2 (2),0.0115,0.641
Signaling events mediated by the Hedgehog family,PID,2,HMDB0000067;HMDB0000876,2 (2),0.0115,0.641
ceramide signaling pathway,BioCarta,2,HMDB0004949;HMDB0013462#HMDB0012103#HMDB0012092,2 (2),0.0115,0.641
TNF-alpha signaling pathway,Wikipathways,2,HMDB0004949;HMDB0001043,2 (3),0.0115,0.641
cholesterol biosynthesis II (via 24_25-dihydrolanosterol),HumanCyc,6,HMDB0001170;HMDB0001251;HMDB0001188;HMDB0000032;HMDB0000067;HMDB0006841,19 (32),0.0117,0.643
Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET),Reactome,5,HMDB0002311;HMDB0002343;HMDB0002265;HMDB0002314;HMDB0001043,14 (15),0.0121,0.643
Synthesis of bile acids and bile salts via 27-hydroxycholesterol,Reactome,5,HMDB0000067;HMDB0012455;HMDB0006281;HMDB0001231;HMDB0062420,14 (16),0.0121,0.643
